"","Brand_Description","Price","Review_Count","Rating","Category"
"1"," +71VansUnisex Classic Slip-On Shoes  4.6 out of 5 stars 7,261  50+ bought in past month$48.11$48.11 List: $54.90$54.90$15.89 delivery Feb 15 - 16 Or fastest delivery Feb 14 - 15 Prime Try Before You Buy","48.","7,261","4.6 out of 5 stars","Vans"
"2"," +5VansUnisex-Adult Authentic(tm) Core Classics  4.7 out of 5 stars 532  $44.11$44.11 List: $59.90$59.90$15.89 delivery Feb 15 - 16 Or fastest delivery Feb 14 - 15 Prime Try Before You Buy","44.","Amazon's Choice: Overall Pick","4.7 out of 5 stars","Vans"
"3"," +59VansUnisex The Shoe That Started It All. The Iconic Classic Slip-on Keeps It Simp Sneaker  4.6 out of 5 stars 5,887  $48.92$48.92$14.95 delivery Feb 16 - 20 Prime Try Before You Buy","48.","5,887","4.6 out of 5 stars","Vans"
"4"," +16VansWomen's Old Skool(tm) Core Classics  4.6 out of 5 stars 2,626  $60.30$60.30 FREE delivery Mon, Feb 19 ","60.","2,626","4.6 out of 5 stars","Vans"
"5"," +22VansMen's Atwood Low-top Sneaker  4.7 out of 5 stars 12,861  50+ bought in past month$72.86$72.86 FREE delivery Mon, Feb 19 Prime Try Before You Buy","72.","12,861","4.7 out of 5 stars","Vans"
"6"," +31VansMen's Sk8-hi¿ Core Classics Sneaker  4.6 out of 5 stars 5,214  $50.08$50.08 List: $65.00$65.00 FREE delivery Mon, Feb 19 Prime Try Before You Buy","50.","5,214","4.6 out of 5 stars","Vans"
"7"," +27VansUnisex Old Skool  4.7 out of 5 stars 812  $63.90$63.90FREE delivery Tue, Feb 20 Or fastest delivery Feb 14 - 15 Prime Try Before You BuyAnother way to buy  $63.90$63.90 FREE delivery Wed, Feb 21 Or fastest delivery Wed, Feb 14  Prime Try Before You Buy  ","63.","812","4.7 out of 5 stars","Vans"
"8"," +221VansWomen's Low-top Trainers Sneaker  4.6 out of 5 stars 86,714  $66.00$66.00FREE international deliveryPrime Try Before You Buy","66.","86,714","4.6 out of 5 stars","Vans"
"9"," +18VansUnisex High top Sneakers  4.5 out of 5 stars 351  $55.08$55.08 Typical: $63.95$63.95$14.95 delivery Feb 16 - 20 Prime Try Before You Buy","55.","351","4.5 out of 5 stars","Vans"
"10"," +5VansUnisex Authentic True White Size  4.5 out of 5 stars 712  $59.00$59.00 List: $70.00$70.00FREE delivery Tue, Feb 20 Or fastest delivery Feb 14 - 15 Another way to buy  $58.96$58.96 List: $70.00$70.00 FREE delivery Wed, Feb 21 Or fastest delivery Wed, Feb 14   ","59.","712","4.5 out of 5 stars","Vans"
"11"," +20VansWomen's Free time and Sportwear, 6 AU  4.6 out of 5 stars 2,329  $60.00$60.00 Typical: $65.00$65.00FREE delivery Fri, Feb 16 ","60.","2,329","4.6 out of 5 stars","Vans"
"12"," +39VansMen's Filmore Decon Trainers Sneaker  4.6 out of 5 stars 86,714  $72.25$72.25 FREE delivery Mon, Feb 19 ","72.","86,714","4.6 out of 5 stars","Vans"
"13"," +7VansClassic Slip-On Unisex Shoes  4.5 out of 5 stars 359  $59.98$59.98 List: $84.95$84.95FREE delivery Wed, Feb 21 Or fastest delivery Wed, Feb 14 ","59.","359","4.5 out of 5 stars","Vans"
"14"," VansSlip On, Black Pewter Checkerboard, Size 6 Men/ 7.5 Woman  3.5 out of 5 stars 3  $51.11$51.11$15.89 delivery Feb 15 - 16 Or fastest delivery Feb 14 - 15 ","51.","3","3.5 out of 5 stars","Vans"
"15"," +9VansUnisex Authentic(tm) Core Classics Trainers  4.6 out of 5 stars 19,070  $62.98$62.98 List: $84.95$84.95FREE delivery Wed, Feb 21 Or fastest delivery Wed, Feb 14 ","62.","19,070","4.6 out of 5 stars","Vans"
"16"," +14VansMen's Sneaker  4.6 out of 5 stars 86,714  $60.08$60.08 FREE delivery Sat, Feb 17 Or fastest delivery Thu, Feb 15 Prime Try Before You Buy","60.","86,714","4.6 out of 5 stars","Vans"
"17"," +26adidasMen's Daily 3.0 Sneaker  4.7 out of 5 stars 14,770  200+ bought in past month$49.98$49.98 List: $65.00$65.00 FREE deliveryPrime Try Before You Buy","49.","14,770","4.7 out of 5 stars","Vans"
"18"," +2VansUnisex Classic Slip-On Shoes  4.7 out of 5 stars 17  $69.91$69.91 FREE delivery Sat, Feb 17 Or fastest delivery Fri, Feb 16 ","69.","17","4.7 out of 5 stars","Vans"
"19"," +49VansSk8-Hi Unisex Casual High-Top Skate Shoes, Comfortable and Durable in Signature Waffle Rubber Sole  4.7 out of 5 stars 4,896  $69.74$69.74 FREE delivery Sat, Feb 17 Or fastest delivery Thu, Feb 15 Prime Try Before You Buy","69.","4,896","4.7 out of 5 stars","Vans"
"20"," +32VansMen's Hi-Top Trainers High  4.7 out of 5 stars 5,130  $39.95$39.95 List: $70.00$70.00FREE delivery Fri, Feb 16 Or fastest delivery Thu, Feb 15 ","39.","5,130","4.7 out of 5 stars","Vans"
"21"," +18VansOld Skool Unisex Adults' Low-Top Trainers  4.6 out of 5 stars 86,714  $69.99$69.99FREE delivery Fri, Feb 16 Prime Try Before You Buy","69.","86,714","4.6 out of 5 stars","Vans"
"22"," +11VansEra (Bandana)  4.6 out of 5 stars 19,070  $68.26$68.26FREE delivery Feb 20 - 21 Prime Try Before You Buy","68.","19,070","4.6 out of 5 stars","Vans"
"23"," +9VansWomen's Sneaker  4.5 out of 5 stars 12,992  50+ bought in past month$65.67$65.67 Typical price: $76.13$76.13FREE international delivery","65.","12,992","4.5 out of 5 stars","Vans"
"24"," +11VansWomen’s Ua Classic Slip-on Low-Top Sneakers  4.7 out of 5 stars 1,615  $79.99$79.99 FREE delivery Sat, Feb 17 Or fastest delivery Fri, Feb 16 ","79.","1,615","4.7 out of 5 stars","Vans"
"25"," +2VansMen's High-top Trainers  4.4 out of 5 stars 210  $74.99$74.99 List: $80.01$80.01 FREE delivery Sat, Feb 17 Or fastest delivery Fri, Feb 16 ","74.","210","4.4 out of 5 stars","Vans"
"26"," +14VansMen's Authentic Sneakers  4.6 out of 5 stars 1,132  $65.00$65.00$14.95 delivery Feb 15 - 20 Or fastest delivery Feb 14 - 16 Prime Try Before You Buy","65.","1,132","4.6 out of 5 stars","Vans"
"27"," +4VansUA ComfyCush Era Men's Trainers  4.6 out of 5 stars 191  $72.04$72.04$14.95 delivery Feb 16 - 20 ","72.","191","4.6 out of 5 stars","Vans"
"28"," VansWomen’s Canvas Seldan Low Cut Design Platform Sneaker  3.9 out of 5 stars 16  $69.99$69.99 FREE delivery Sat, Feb 17 Or fastest delivery Fri, Feb 16 ","69.","16","3.9 out of 5 stars","Vans"
"29"," +91VansWomen's Low-Top Trainers  4.6 out of 5 stars 12,081  $59.99$59.99 FREE delivery Mon, Feb 19 Prime Try Before You Buy","59.","12,081","4.6 out of 5 stars","Vans"
"30"," +99VansUnisex Old Skool Classic Skate Shoes  4.7 out of 5 stars 31,250  50+ bought in past month$69.99$69.99FREE delivery Feb 20 - 21 Prime Try Before You Buy","69.","31,250","4.7 out of 5 stars","Vans"
"31"," +37ConverseWomen's Chuck Taylor All Star Lift Cozy Utility Sneakers  4.7 out of 5 stars 14,776  300+ bought in past month$75.00$75.00 FREE delivery Mon, Feb 19 Prime Try Before You Buy","75.","14,776","4.7 out of 5 stars","Vans"
"32"," +9VansMen's Low-top Shoes  4.4 out of 5 stars 600  No featured offers available$125.00(3 new offers)","","600","4.4 out of 5 stars","Vans"
"33"," +38VansMen's Doheny Decon Suede Sneaker  4.6 out of 5 stars 5,735  $51.60$51.60 List: $54.95$54.95 FREE delivery Tue, Feb 20 Prime Try Before You Buy","51.","5,735","4.6 out of 5 stars","Vans"
"34"," +31VansMen's Seldan Sneaker  4.6 out of 5 stars 3,983  $91.77$91.77 FREE delivery Sat, Feb 17 Or fastest delivery Fri, Feb 16 Prime Try Before You Buy","91.","3,983","4.6 out of 5 stars","Vans"
"35"," VansUnisex-Adult Classic Slip on Sneaker  4.6 out of 5 stars 753  $46.31$46.31 List: $50.00$50.00 FREE delivery Sat, Feb 17 Or fastest delivery Thu, Feb 15 ","46.","753","4.6 out of 5 stars","Vans"
"36"," +31VansUnisex Closed-Toe Trainers  4.6 out of 5 stars 53  No featured offers available$55.02(12 new offers)","","53","4.6 out of 5 stars","Vans"
"37"," +32VansWomen's Ward Trainers Sneaker  4.6 out of 5 stars 4,593  $69.99$69.99 FREE delivery Sat, Feb 17 Or fastest delivery Fri, Feb 16 ","69.","4,593","4.6 out of 5 stars","Vans"
"38"," +1VansU Authentic, Unisex Adults’ Sneakers  4.4 out of 5 stars 30  $42.10$42.10$15.89 delivery Feb 15 - 16 Or fastest delivery Feb 14 - 15 ","42.","30","4.4 out of 5 stars","Vans"
"39"," VansMen's Low-Top Trainers Sneaker, Suede Canvas Black White, 9  4.7 out of 5 stars 320  $61.70$61.70 List Price: $90.99$90.99FREE international delivery","61.","320","4.7 out of 5 stars","Vans"
"40"," +55VansClassic Pullover Hoodie II  4.8 out of 5 stars 1,286  $39.53$39.53 List: $54.50$54.50$14.95 delivery Feb 16 - 20 ","39.","1,286","4.8 out of 5 stars","Vans"
"41"," +52VansMen's Atwood Suede/Canvas Sneaker  4.6 out of 5 stars 21,551  $57.25$57.25 Typical price: $80.56$80.56FREE international deliveryPrime Try Before You Buy","57.","21,551","4.6 out of 5 stars","Vans"
"42"," +1VansMens Classic Bandana Sneakers  4.6 out of 5 stars 256  $75.00$75.00$14.95 delivery Feb 16 - 20 ","75.","256","4.6 out of 5 stars","Vans"
"43"," +9VansUnisex-Adult Era¿ Core Classics  4.6 out of 5 stars 1,434  $74.95$74.95 FREE delivery Sat, Feb 17 Or fastest delivery Fri, Feb 16 Prime Try Before You Buy","74.","1,434","4.6 out of 5 stars","Vans"
"44"," VansWomen's Sneaker  4.6 out of 5 stars 493  $73.80$73.80FREE international delivery","73.","493","4.6 out of 5 stars","Vans"
"45"," +31ConverseWomen's Chuck Taylor All Star Lugged Hi Sneakers  4.6 out of 5 stars 5,365  200+ bought in past month$54.00$54.00 List: $70.00$70.00FREE delivery Fri, Feb 16 Or fastest delivery Thu, Feb 15 Prime Try Before You Buy","54.","5,365","4.6 out of 5 stars","Vans"
"46"," VansMen's Low-Top Trainers Sneaker, Suede Canvas Black White, 10  4.6 out of 5 stars 448  No featured offers available$163.00(1 new offer)","","448","4.6 out of 5 stars","Vans"
"47"," +5 colors/patternsVans From HanoverPullover Hoodie  4.2 out of 5 stars 31  50+ bought in past month$29.95$29.95 FREE delivery Sat, Feb 17 on $35 of items shipped by AmazonOr fastest delivery Thu, Feb 15 Climate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certification (1) OEKO-TEX STANDARD 100Amazon Merch on Demand","29.","31","4.2 out of 5 stars","Vans"
"48"," VansMen's Low-Top Trainers Sneaker, Suede Canvas Black White, 10.5  4.6 out of 5 stars 292  $61.70$61.70 List Price: $90.99$90.99FREE international delivery","61.","292","4.6 out of 5 stars","Vans"
